0.218892	0.975749	1
0.934422	-0.356168	1
0.999952	0.009798	1
-0.966647	-0.256113	-1
0.986325	0.164813	1
-0.986894	0.161370	-1
0.107660	0.994188	1
0.980468	-0.196680	1
0.605204	-0.796070	-1
-0.962506	0.271259	-1
-0.141465	-0.989943	-1
-0.199751	-0.979847	-1
0.510400	-0.859937	-1
-0.867103	-0.498129	-1
-0.510771	0.859717	1
-0.464369	-0.885642	-1
0.787753	0.615991	1
0.079992	-0.996796	-1
0.688771	0.724979	1
-0.107017	0.994257	1
0.981081	-0.193597	1
-0.965181	-0.261581	-1
-0.922033	-0.387111	-1
0.819644	0.572874	1
-0.268259	0.963347	1
-0.799679	0.600428	-1
-0.040183	0.999192	1
-0.007839	-0.999969	-1
-0.900336	-0.435195	-1
-0.872461	-0.488684	-1
-0.639187	0.769052	1
0.903782	0.427993	1
-0.634300	0.773087	1
0.593970	0.804487	1
0.921404	0.388606	1
-0.899394	-0.437139	-1
-0.941118	-0.338079	-1
-0.178632	0.983916	1
0.611555	-0.791202	-1
0.994403	0.105656	1
-0.428403	0.903588	1
0.510791	-0.859705	-1
-0.846522	0.532353	-1
0.980607	-0.195986	1
-0.717372	-0.696690	-1
0.966852	-0.255339	1
-0.886440	-0.462844	-1
0.240605	-0.970623	-1
-0.987095	-0.160136	-1
-0.867889	-0.496759	-1
